"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"1998","코스닥","033310","디케이디앤아이","금속",2385,155,52404200235
"1999","코스닥","093380","풍강","금속",2610,70,25785006930
"2000","코스닥","079170","한창산업","금속",5140,395,2.6728e+10
"2001","코스닥","073640","삼원테크","금속",1345,-60,74507593100
"2002","코스닥","065620","제낙스","금속",3190,0,78982709300
"2003","코스닥","005160","동국산업","금속",2105,20,114184634610
"2004","코스닥","054410","케이피티유","금속",3150,30,1.5939e+10
"2005","코스닥","053660","현진소재","금속",400,0,21280401200
"2006","코스닥","060380","동양에스텍","금속",2715,10,2.715e+10
"2007","코스닥","048470","대동스틸","금속",5560,40,5.56e+10
"2008","코스닥","053260","금강철강","금속",2785,-35,52135200000
"2009","코스닥","054540","삼영엠텍","금속",3355,50,4.3615e+10
"2010","코스닥","053620","태양","금속",7120,20,6.1232e+10
"2011","코스닥","044490","태웅","금속",5960,-110,119243990760
"2012","코스닥","039240","경남스틸","금속",1500,0,3.75e+10
"2013","코스닥","038010","제일테크노스","금속",3230,35,2.907e+10
"2014","코스닥","037760","쎄니트","금속",1720,-15,58192624120
"2015","코스닥","026910","광진실업","금속",2835,55,18159323175
"2016","코스닥","025550","한국선재","금속",2475,50,60692578650
"2017","코스닥","024940","PN풍년","금속",1980,75,1.98e+10
"2018","코스닥","024880","케이피에프","금속",3405,20,59415060585
"2019","코스닥","023790","동일철강","금속",2675,60,19648102375
"2020","코스닥","023440","제일제강","금속",1875,-25,55298236875
"2021","코스닥","023160","태광","금속",7060,200,1.8709e+11
"2022","코스닥","021045","대호피앤씨우","금속",1315,25,5578842790
"2023","코스닥","021040","대호피앤씨","금속",760,10,55565747760
"2024","코스닥","020400","대동금속","금속",7900,40,20600916900
"2025","코스닥","019210","와이지-원","금속",4930,70,150728927670
"2026","코스닥","017510","세명전기","금속",4760,-20,72570960000
"2027","코스닥","017480","삼현철강","금속",3415,40,53625369350
"2028","코스닥","014620","성광벤드","금속",6020,40,1.72172e+11
"2029","코스닥","013030","하이록코리아","금속",12050,350,164039445600
"2030","코스닥","012620","원일특강","금속",8670,120,3.8148e+10
"2031","코스닥","009730","코센","금속",534,-7,45744194724
"2032","코스닥","009620","삼보산업","금속",746,-14,28416815516
"2033","코스닥","009520","포스코엠텍","금속",3955,15,164696890365
"2034","코스닥","007530","영신금속","금속",1545,45,19826935560
"2035","코스닥","004780","대륙제관","금속",3695,35,58762320305
"2036","코스닥","306620","네온테크","기계·장비",1700,45,60077614100
"2037","코스닥","297090","씨에스베어링","기계·장비",6310,170,59701434000
"2038","코스닥","254120","자비스","기계·장비",1625,-5,30880648500
"2039","코스닥","272110","케이엔제이","기계·장비",6430,-70,40543927760
"2040","코스닥","256150","한독크린텍","기계·장비",17600,150,70769600000
"2041","코스닥","317830","에스피시스템스","기계·장비",4180,25,34049026000
"2042","코스닥","282880","코윈테크","기계·장비",25200,100,233137598400
"2043","코스닥","317850","대모","기계·장비",4825,10,40165326500
"2044","코스닥","045520","크린앤사이언스","기계·장비",22350,350,1.45275e+11
"2045","코스닥","043220","에이치엘비파워","기계·장비",1335,50,121639028295
"2046","코스닥","014940","오리엔탈정공","기계·장비",675,8,30762221175
"2047","코스닥","302430","이노메트리","기계·장비",13150,150,126900340400
"2048","코스닥","117730","티로보틱스","기계·장비",7980,190,44523843420
"2049","코스닥","227950","마이크로텍","기계·장비",2430,30,68711751630
"2050","코스닥","290670","대보마그네틱","기계·장비",23550,250,155829714150
"2051","코스닥","089970","에이피티씨","기계·장비",7790,90,180997495050
"2052","코스닥","226440","한송네오텍","기계·장비",1090,35,43622392960
"2053","코스닥","217500","러셀","기계·장비",1560,30,49626720000
"2054","코스닥","033430","디에스티","기계·장비",370,0,23750763610
"2055","코스닥","064510","에코마이스터","기계·장비",4045,0,54856069295
"2056","코스닥","148140","비디아이","기계·장비",10650,50,85069633350
"2057","코스닥","259630","엠플러스","기계·장비",18100,-50,93752805300
"2058","코스닥","060310","3S","기계·장비",2350,40,105285900850
"2059","코스닥","251630","브이원텍","기계·장비",6650,80,100086357000
"2060","코스닥","043290","케이맥","기계·장비",1495,45,54552774250
"2061","코스닥","083500","에프엔에스테크","기계·장비",11250,300,84769447500
